Полицейска статистика 2024,,,,,,,,,,,
,,,,,,,,,,"Престъпления,",
,Благоевград,Регистрирани,,Разкрити,,Установени извършители,,,,регистрирани в,
,,престъпления,,престъпления от,,"по разкритите престъпления,",,,,предишни години,
,,през текущата,,регистрираните,,,регистрирани през,,,и разкрити през,
№,Видове престъпления,година,,през текущата,,,текущата година,,,текущата.,
,,,,година,,,,,,Установени,
,,,,,,,,,,извършители,
,,,Брой на,,% на,,,От тях:,,Разкри-,
,,Общ,"100 хил,",Общ,разкри-,Общ,,Непъл-,Чуж-,ти прес-,Установени
,,брой,души,брой,ваемост,брой,Жени,нолетни,денци,тъпления,извършители
,,,,,,,,(14-17 г.),,,
3.7.,Други общоопасни,6,1.93,1,16.67,1,0,0,0,0,0
4,Други криминални престъпления,380,122.03,186,48.95,209,52,6,28,72,77
4.1.,"Престъпления против правата на гражданите (чл.162-169 г,170-171,174 а НК)",10,3.21,4,40,4,0,0,0,4,4
4.2.,"Престъпления против брака, семейството и младежта (чл.176-179,181-193 НК)",154,49.45,85,55.19,101,29,5,1,37,39
,· незаконно осиновяване и продажба на дете (чл.182а-182б НК),0,0,0,0,0,0,0,0,0,0
,· неплащане на издръжка (чл.183 НК),35,11.24,12,34.29,12,6,0,0,18,18
4.3.,Престъпления против дейността на държавни органи и обществени организации (чл.269-300 НК),101,32.43,61,60.4,63,21,0,27,14,15
,· използване на полицейски знаци/униформа - (чл.274а НК),1,0.32,1,100,1,0,0,0,0,0
,· незаконно преминаване през граница  (чл.279 НК),0,0,0,0,0,0,0,0,0,0
,· превеждане през граница (чл.280 -281 НК),43,13.81,37,86.05,39,20,0,27,2,2
4.4.,Компютърни престъпления (чл.319а-319в  НК),2,0.64,0,0,0,0,0,0,0,0
4.5.,Престъпления против реда и общественото спокойствие (чл.320-329 НК),113,36.29,36,31.86,41,2,1,0,17,19
,"· образуване и участие в престъпна група (чл.321, 321а НК)",0,0,0,0,0,0,0,0,0,0
,· хулиганство (чл.325 НК),98,31.47,31,31.63,35,2,1,0,16,18
5,"Престъпления, извършени в условията на домашно насилие",86,27.62,30,34.88,29,0,0,0,8,8
6,Смъртни случаи без следи от насилие,18,5.78,0,0,0,0,0,0,0,0
,,,,,,,,,,"Престъпления,",
,Търговище,Регистрирани,,Разкрити,,Установени извършители,,,,регистрирани в,
,,престъпления,,престъпления от,,"по разкритите престъпления,",,,,предишни години,
,,през текущата,,регистрираните,,,регистрирани през,,,и разкрити през,
№,Видове престъпления,година,,през текущата,,,текущата година,,,текущата.,
,(вкл. и противообществени прояви),,,година,,,,,,Установени,
,,,,,,,,,,извършители,
,,,Брой на,,% на,,,От тях:,,Разкри-,
,,Общ,"100 хил,",Общ,разкри-,Общ,,Непъл-,Чуж-,ти прес-,Установени
,,брой,души,брой,ваемост,брой,Жени,нолетни,денци,тъпления,извършители
,,,,,,,,(14-17 г.),,,
,Общ брой,939,853.43,615,65.5,544,52,50,5,84,89
1,Престъпления против личността (чл.115 - 159 НК),119,108.16,67,56.3,55,4,5,0,16,17
1.1.,Убийство (чл.115-127 НК),2,1.82,1,50,1,0,0,0,0,0
,"· Умишлено убийство (чл.115-116,118 НК) - довършено",1,0.91,1,100,1,0,0,0,0,0
,"- по поръчение на ОПГ  (чл.116, ал.1, т.10 НК)",0,0,0,0,0,0,0,0,0,0
,"· Умишлено убийство (чл.115-116,118 НК) - опит",0,0,0,0,0,0,0,0,0,0
,· Убийство от родител на новородено дете (чл.120-121 НК),0,0,0,0,0,0,0,0,0,0
,"· Подпомагане, склоняване към самоубийство (чл.127 НК)",0,0,0,0,0,0,0,0,0,0
1.2.,Разврат (чл.149-159 НК),4,3.64,1,25,1,0,1,0,1,1
,· Блудство (чл.149 - 150 НК),1,0.91,0,0,0,0,0,0,1,1
,· Изнасилване (чл.152 НК) - довършено,1,0.91,1,100,1,0,1,0,0,0
,· Изнасилване (чл.152 НК) - опит,0,0,0,0,0,0,0,0,0,0
,· Сводничество и отвличане за разврат (чл.155 - 156 НК),1,0.91,0,0,0,0,0,0,0,0
,· Престъпен/хомосексуализъм (чл.157 НК),0,0,0,0,0,0,0,0,0,0
1.3.,Телесна повреда (чл.128 - 135 НК),88,79.98,50,56.82,44,3,4,0,8,9
,"· Умишлена тежка телесна повреда (чл.128,131,131а,132 НК)",0,0,0,0,0,0,0,0,0,0
1.4.,"Отвличане и противозаконно лишаване от свобода (чл.142,142а НК)",0,0,0,0,0,0,0,0,0,0
1.5.,Задържане на заложник (чл.143а НК),0,0,0,0,0,0,0,0,0,0
1.6.,Трафик на хора (чл.159а - 159г НК),0,0,0,0,0,0,0,0,0,0
1.7.,Други против личността,25,22.72,15,60,11,1,0,0,7,7
2,"Престъпления против собствеността (чл.194 - 200, 206 - 217 НК)",326,296.29,193,59.2,177,31,28,1,31,38
2.1.,Грабеж (чл.198 - 200 НК),2,1.82,1,50,1,0,0,0,0,0
,· въоръжен грабеж,0,0,0,0,0,0,0,0,0,0
,- чрез огнестрелно оръжие,0,0,0,0,0,0,0,0,0,0
2.2.,Кражба (чл.194 - 197 НК),239,217.22,155,64.85,145,27,25,1,24,31
,· джебчийска,1,0.91,1,100,1,0,0,0,0,0
,· взломна,42,38.17,15,35.71,13,0,3,0,5,9
,· домова,71,64.53,38,53.52,34,2,9,0,12,19
,· от офиси,1,0.91,0,0,0,0,0,0,0,0
,· от магазини,39,35.45,35,89.74,38,12,3,1,3,3
,· на части и вещи от МПС,13,11.82,6,46.15,6,0,1,0,2,4
,"· на оръжие и боеприпаси - (чл.195,ал.1,т.10, чл.195,ал.3 НК)",1,0.91,0,0,0,0,0,0,0,0
,"· на селскостопанска продукция, домашни животни и птици",28,25.45,21,75,26,4,6,1,1,1
2.3.,"Измама (чл.209 - 211, 213 НК)",28,25.45,5,17.86,5,2,0,0,3,3
2.4.,Изнудване (чл.213а-214 а НК),0,0,0,0,0,0,0,0,0,0
2.5.,Други против собствеността,57,51.81,32,56.14,31,2,5,0,4,4
3,Общоопасни престъпления (чл.330-356 к НК),404,367.18,303,75,277,12,14,2,21,20
3.1.,Палеж (чл.330-333 НК),15,13.63,2,13.33,3,0,0,0,3,3
,· повреждане чрез взрив (чл.333 НК),0,0,0,0,0,0,0,0,0,0
3.2.,"Незаконно производство, придобиване, държане и използване на оръжие (чл.337-339б НК)",1,0.91,1,100,1,0,0,0,0,0
3.3.,Посегателства спрямо МПС,2,1.82,2,100,2,0,1,0,0,0
,"· противозаконно отнемане на МПС (чл.346, ал.1, ал.2, ал.6 НК)",2,1.82,2,100,2,0,1,0,0,0
,"· съдействие при връщане на МПС с цел имотна облага (чл.346,ал.3 НК)",0,0,0,0,0,0,0,0,0,0
,"· кражба на МПС (чл.195, ал.1, т.12 НК)",0,0,0,0,0,0,0,0,0,0
,"· грабеж на МПС (чл.346, ал.5; чл.199, ал. 2, т. 2 НК)",0,0,0,0,0,0,0,0,0,0
3.4.,Други действия спрямо МПС,93,84.52,87,93.55,83,2,9,0,2,2
,· използване на чужди регистрационни номера на МПС  (чл.345 НК),90,81.8,87,96.67,83,2,9,0,2,2
,· заличаване/подправяне на идентификационни номера на МПС  (чл.345а НК),3,2.73,0,0,0,0,0,0,0,0
,· незаконно проникване в МПС (чл.346б НК),0,0,0,0,0,0,0,0,0,0
3.5.,"Престъпления с наркотици (чл.242,ал.2-3; чл.270,ал.2; чл.282,ал.5; чл.253,ал.4, чл.354а-354в НК)",95,86.34,60,63.16,59,6,4,0,2,2
,"· контрабанда (чл.242, ал.2 и ал.3 НК)",0,0,0,0,0,0,0,0,0,0
,"· производство, преработване, придобиване, държане, разпространение, пренасяне (чл.354а НК)",93,84.52,58,62.37,57,5,4,0,2,2
,· склоняване/подпомагане към употреба (чл.354б НК),0,0,0,0,0,0,0,0,0,0
,· засяване/отглеждане на растения (чл.354в),2,1.82,2,100,2,1,0,0,0,0
,"· финансови операции и сделки със суми, придобити чрез трафик на наркотици (чл.253, ал.4 НК )",0,0,0,0,0,0,0,0,0,0
,"· възпрепятстване контрол върху трафик на наркотици (чл.270, ал.2 НК)",0,0,0,0,0,0,0,0,0,0
,"· неправомерен контрол върху дейности с наркотици (чл.282, ал.5 НК)",0,0,0,0,0,0,0,0,0,0
3.6.,Престъпления по транспорта (чл.340-344 НК),195,177.23,151,77.44,146,4,0,2,14,14
,"· транспортно причиняване на смърт по непредпазливост (чл.343,ал.1,б.”в”, ал.3, б. ""б”,ал. 4 НК)",9,8.18,1,11.11,1,0,0,0,2,2
,"· транспортни телесни повреди по непредпазливост (чл.343, ал.1, б.”б”, ал.3, б.”а"" НК)",21,19.09,11,52.38,11,0,0,1,6,6
3.7.,Други общоопасни,3,2.73,0,0,0,0,0,0,0,0
4,Други криминални престъпления,87,79.07,52,59.77,56,6,4,2,14,14
4.1.,"Престъпления против правата на гражданите (чл.162-169 г,170-171,174 а НК)",10,9.09,7,70,9,2,1,0,1,1
4.2.,"Престъпления против брака, семейството и младежта (чл.176-179,181-193 НК)",21,19.09,12,57.14,14,3,0,0,8,8
,· незаконно осиновяване и продажба на дете (чл.182а-182б НК),0,0,0,0,0,0,0,0,0,0
,· неплащане на издръжка (чл.183 НК),10,9.09,3,30,3,0,0,0,6,6
4.3.,Престъпления против дейността на държавни органи и обществени организации (чл.269-300 НК),25,22.72,16,64,15,1,1,2,3,3
,· използване на полицейски знаци/униформа - (чл.274а НК),0,0,0,0,0,0,0,0,0,0
,· незаконно преминаване през граница  (чл.279 НК),1,0.91,1,100,1,0,0,1,0,0
,· превеждане през граница (чл.280 -281 НК),0,0,0,0,0,0,0,0,0,0
4.4.,Компютърни престъпления (чл.319а-319в  НК),0,0,0,0,0,0,0,0,0,0
4.5.,Престъпления против реда и общественото спокойствие (чл.320-329 НК),29,26.36,17,58.62,19,0,2,0,2,2
,"· образуване и участие в престъпна група (чл.321, 321а НК)",0,0,0,0,0,0,0,0,0,0
,· хулиганство (чл.325 НК),22,20,14,63.64,16,0,1,0,2,2
5,"Престъпления, извършени в условията на домашно насилие",45,40.9,33,73.33,31,1,1,0,6,6
6,Смъртни случаи без следи от насилие,2,1.82,0,0,0,0,0,0,0,0
,,,,,,,,,,"Престъпления,",
,Хасково,Регистрирани,,Разкрити,,Установени извършители,,,,регистрирани в,
,,престъпления,,престъпления от,,"по разкритите престъпления,",,,,предишни години,
,,през текущата,,регистрираните,,,регистрирани през,,,и разкрити през,
№,Видове престъпления,година,,през текущата,,,текущата година,,,текущата.,
,(вкл. и противообществени прояви),,,година,,,,,,Установени,
,,,,,,,,,,извършители,
,,,Брой на,,% на,,,От тях:,,Разкри-,
,,Общ,"100 хил,",Общ,разкри-,Общ,,Непъл-,Чуж-,ти прес-,Установени
,,брой,души,брой,ваемост,брой,Жени,нолетни,денци,тъпления,извършители
,,,,,,,,(14-17 г.),,,
,Общ брой,2104,940.86,1179,56.04,1057,135,103,131,329,301
1,Престъпления против личността (чл.115 - 159 НК),165,73.78,51,30.91,54,1,5,3,36,41
1.1.,Убийство (чл.115-127 НК),5,2.24,2,40,2,0,0,0,2,2
,"· Умишлено убийство (чл.115-116,118 НК) - довършено",2,0.89,1,50,1,0,0,0,2,2
,"- по поръчение на ОПГ  (чл.116, ал.1, т.10 НК)",0,0,0,0,0,0,0,0,0,0
,"· Умишлено убийство (чл.115-116,118 НК) - опит",1,0.45,1,100,1,0,0,0,0,0
,· Убийство от родител на новородено дете (чл.120-121 НК),0,0,0,0,0,0,0,0,0,0
,"· Подпомагане, склоняване към самоубийство (чл.127 НК)",1,0.45,0,0,0,0,0,0,0,0
1.2.,Разврат (чл.149-159 НК),10,4.47,7,70,6,0,0,0,4,4
,· Блудство (чл.149 - 150 НК),7,3.13,6,85.71,5,0,0,0,2,2
,· Изнасилване (чл.152 НК) - довършено,0,0,0,0,0,0,0,0,0,0
,· Изнасилване (чл.152 НК) - опит,0,0,0,0,0,0,0,0,0,0
,· Сводничество и отвличане за разврат (чл.155 - 156 НК),0,0,0,0,0,0,0,0,0,0
,· Престъпен/хомосексуализъм (чл.157 НК),0,0,0,0,0,0,0,0,1,1
1.3.,Телесна повреда (чл.128 - 135 НК),101,45.16,29,28.71,35,0,5,2,20,24
,"· Умишлена тежка телесна повреда (чл.128,131,131а,132 НК)",0,0,0,0,0,0,0,0,0,0
1.4.,"Отвличане и противозаконно лишаване от свобода (чл.142,142а НК)",3,1.34,0,0,0,0,0,0,2,3
1.5.,Задържане на заложник (чл.143а НК),0,0,0,0,0,0,0,0,0,0
1.6.,Трафик на хора (чл.159а - 159г НК),0,0,0,0,0,0,0,0,0,0
1.7.,Други против личността,46,20.57,13,28.26,13,1,0,1,8,8
2,"Престъпления против собствеността (чл.194 - 200, 206 - 217 НК)",797,356.4,422,52.95,344,51,48,3,106,89
2.1.,Грабеж (чл.198 - 200 НК),21,9.39,20,95.24,21,1,3,2,4,4
,· въоръжен грабеж,0,0,0,0,0,0,0,0,0,0
,- чрез огнестрелно оръжие,0,0,0,0,0,0,0,0,0,0
2.2.,Кражба (чл.194 - 197 НК),640,286.19,356,55.63,277,46,36,1,94,77
,· джебчийска,4,1.79,3,75,3,2,1,0,2,2
,· взломна,84,37.56,34,40.48,34,1,6,0,15,13
,· домова,43,19.23,19,44.19,20,1,4,0,6,8
,· от офиси,4,1.79,0,0,0,0,0,0,0,0
,· от магазини,125,55.9,91,72.8,79,23,13,0,15,14
,· на части и вещи от МПС,47,21.02,33,70.21,11,0,5,0,3,3
,"· на оръжие и боеприпаси - (чл.195,ал.1,т.10, чл.195,ал.3 НК)",3,1.34,1,33.33,1,0,1,0,1,1
,"· на селскостопанска продукция, домашни животни и птици",61,27.28,39,63.93,57,13,8,0,7,12
2.3.,"Измама (чл.209 - 211, 213 НК)",20,8.94,4,20,4,3,0,0,1,1
2.4.,Изнудване (чл.213а-214 а НК),3,1.34,1,33.33,1,0,0,0,0,0
2.5.,Други против собствеността,113,50.53,41,36.28,57,2,12,0,7,7
3,Общоопасни престъпления (чл.330-356 к НК),840,375.63,538,64.05,518,36,42,43,148,140
3.1.,Палеж (чл.330-333 НК),51,22.81,3,5.88,5,2,2,0,0,0
,· повреждане чрез взрив (чл.333 НК),1,0.45,0,0,0,0,0,0,0,0
3.2.,"Незаконно производство, придобиване, държане и използване на оръжие (чл.337-339б НК)",8,3.58,6,75,6,0,0,0,3,3
3.3.,Посегателства спрямо МПС,34,15.2,17,50,22,0,8,1,5,8
,"· противозаконно отнемане на МПС (чл.346, ал.1, ал.2, ал.6 НК)",16,7.15,12,75,13,0,8,1,3,5
,"· съдействие при връщане на МПС с цел имотна облага (чл.346,ал.3 НК)",0,0,0,0,0,0,0,0,0,0
,"· кражба на МПС (чл.195, ал.1, т.12 НК)",18,8.05,5,27.78,9,0,0,0,2,3
,"· грабеж на МПС (чл.346, ал.5; чл.199, ал. 2, т. 2 НК)",0,0,0,0,0,0,0,0,0,0
3.4.,Други действия спрямо МПС,102,45.61,72,70.59,72,1,6,15,12,11
,· използване на чужди регистрационни номера на МПС  (чл.345 НК),88,39.35,71,80.68,71,1,6,15,12,11
,· заличаване/подправяне на идентификационни номера на МПС  (чл.345а НК),13,5.81,0,0,0,0,0,0,0,0
,· незаконно проникване в МПС (чл.346б НК),1,0.45,1,100,1,0,0,0,0,0
3.5.,"Престъпления с наркотици (чл.242,ал.2-3; чл.270,ал.2; чл.282,ал.5; чл.253,ал.4, чл.354а-354в НК)",251,112.24,186,74.1,177,21,26,4,42,42
,"· контрабанда (чл.242, ал.2 и ал.3 НК)",1,0.45,1,100,1,0,0,1,0,0
,"· производство, преработване, придобиване, държане, разпространение, пренасяне (чл.354а НК)",233,104.19,179,76.82,169,20,26,3,40,40
,· склоняване/подпомагане към употреба (чл.354б НК),0,0,0,0,0,0,0,0,0,0
,· засяване/отглеждане на растения (чл.354в),17,7.6,6,35.29,7,1,0,0,2,2
,"· финансови операции и сделки със суми, придобити чрез трафик на наркотици (чл.253, ал.4 НК )",0,0,0,0,0,0,0,0,0,0
,"· възпрепятстване контрол върху трафик на наркотици (чл.270, ал.2 НК)",0,0,0,0,0,0,0,0,0,0
,"· неправомерен контрол върху дейности с наркотици (чл.282, ал.5 НК)",0,0,0,0,0,0,0,0,0,0
3.6.,Престъпления по транспорта (чл.340-344 НК),389,173.95,251,64.52,251,11,0,22,86,85
,"· транспортно причиняване на смърт по непредпазливост (чл.343,ал.1,б.”в”, ал.3, б. ""б”,ал. 4 НК)",15,6.71,4,26.67,4,0,0,1,3,3
,"· транспортни телесни повреди по непредпазливост (чл.343, ал.1, б.”б”, ал.3, б.”а"" НК)",57,25.49,4,7.02,5,1,0,0,18,18
3.7.,Други общоопасни,5,2.24,3,60,3,1,0,1,0,0
4,Други криминални престъпления,264,118.05,166,62.88,174,51,14,84,38,38
4.1.,"Престъпления против правата на гражданите (чл.162-169 г,170-171,174 а НК)",4,1.79,2,50,2,0,0,0,0,0
4.2.,"Престъпления против брака, семейството и младежта (чл.176-179,181-193 НК)",84,37.56,47,55.95,48,5,5,0,15,15
,· незаконно осиновяване и продажба на дете (чл.182а-182б НК),0,0,0,0,0,0,0,0,0,0
,· неплащане на издръжка (чл.183 НК),40,17.89,15,37.5,15,5,0,0,12,12
4.3.,Престъпления против дейността на държавни органи и обществени организации (чл.269-300 НК),133,59.47,104,78.2,110,45,6,82,13,11
,· използване на полицейски знаци/униформа - (чл.274а НК),0,0,0,0,0,0,0,0,0,0
,· незаконно преминаване през граница  (чл.279 НК),74,33.09,72,97.3,74,41,6,74,0,0
,· превеждане през граница (чл.280 -281 НК),20,8.94,18,90,23,4,0,8,3,3
4.4.,Компютърни престъпления (чл.319а-319в  НК),0,0,0,0,0,0,0,0,0,0
4.5.,Престъпления против реда и общественото спокойствие (чл.320-329 НК),43,19.23,13,30.23,14,1,3,2,10,12
,"· образуване и участие в престъпна група (чл.321, 321а НК)",0,0,0,0,0,0,0,0,0,0
,· хулиганство (чл.325 НК),33,14.76,8,24.24,9,0,1,2,10,12
5,"Престъпления, извършени в условията на домашно насилие",43,19.23,16,37.21,14,0,0,0,6,5
6,Смъртни случаи без следи от насилие,35,15.65,0,0,0,0,0,0,0,0
,,,,,,,,,,"Престъпления,",
,Шумен,Регистрирани,,Разкрити,,Установени извършители,,,,регистрирани в,
,,престъпления,,престъпления от,,"по разкритите престъпления,",,,,предишни години,
,,през текущата,,регистрираните,,,регистрирани през,,,и разкрити през,
№,Видове престъпления,година,,през текущата,,,текущата година,,,текущата.,
,(вкл. и противообществени прояви),,,година,,,,,,Установени,
,,,,,,,,,,извършители,
,,,Брой на,,% на,,,От тях:,,Разкри-,
,,Общ,"100 хил,",Общ,разкри-,Общ,,Непъл-,Чуж-,ти прес-,Установени
,,брой,души,брой,ваемост,брой,Жени,нолетни,денци,тъпления,извършители
,,,,,,,,(14-17 г.),,,
,Общ брой,1587,923.85,925,58.29,779,114,63,5,185,184
1,Престъпления против личността (чл.115 - 159 НК),248,144.37,107,43.15,91,5,6,1,44,45
1.1.,Убийство (чл.115-127 НК),3,1.75,2,66.67,1,0,0,0,0,0
,"· Умишлено убийство (чл.115-116,118 НК) - довършено",1,0.58,1,100,1,0,0,0,0,0
,"- по поръчение на ОПГ  (чл.116, ал.1, т.10 НК)",0,0,0,0,0,0,0,0,0,0
,"· Умишлено убийство (чл.115-116,118 НК) - опит",1,0.58,1,100,1,0,0,0,0,0
,· Убийство от родител на новородено дете (чл.120-121 НК),0,0,0,0,0,0,0,0,0,0
,"· Подпомагане, склоняване към самоубийство (чл.127 НК)",0,0,0,0,0,0,0,0,0,0
1.2.,Разврат (чл.149-159 НК),21,12.22,5,23.81,5,0,1,0,5,6
,· Блудство (чл.149 - 150 НК),12,6.99,2,16.67,2,0,0,0,2,3
,· Изнасилване (чл.152 НК) - довършено,1,0.58,1,100,1,0,0,0,1,1
,· Изнасилване (чл.152 НК) - опит,0,0,0,0,0,0,0,0,0,0
,· Сводничество и отвличане за разврат (чл.155 - 156 НК),0,0,0,0,0,0,0,0,0,0
,· Престъпен/хомосексуализъм (чл.157 НК),1,0.58,0,0,0,0,0,0,1,1
1.3.,Телесна повреда (чл.128 - 135 НК),144,83.83,56,38.89,64,5,5,1,29,34
,"· Умишлена тежка телесна повреда (чл.128,131,131а,132 НК)",0,0,0,0,0,0,0,0,0,0
1.4.,"Отвличане и противозаконно лишаване от свобода (чл.142,142а НК)",0,0,0,0,0,0,0,0,0,0
1.5.,Задържане на заложник (чл.143а НК),0,0,0,0,0,0,0,0,0,0
1.6.,Трафик на хора (чл.159а - 159г НК),0,0,0,0,0,0,0,0,0,0
1.7.,Други против личността,80,46.57,44,55,33,3,0,0,10,7
2,"Престъпления против собствеността (чл.194 - 200, 206 - 217 НК)",619,360.34,355,57.35,334,84,38,1,44,48
2.1.,Грабеж (чл.198 - 200 НК),16,9.31,13,81.25,10,0,1,0,1,4
,· въоръжен грабеж,0,0,0,0,0,0,0,0,0,0
,- чрез огнестрелно оръжие,0,0,0,0,0,0,0,0,0,0
2.2.,Кражба (чл.194 - 197 НК),431,250.9,255,59.16,255,70,21,1,31,31
,· джебчийска,11,6.4,2,18.18,2,1,0,0,0,0
,· взломна,36,20.96,13,36.11,11,1,1,0,4,5
,· домова,58,33.76,23,39.66,24,3,3,0,5,5
,· от офиси,4,2.33,1,25,1,0,0,0,0,0
,· от магазини,123,71.6,92,74.8,97,47,10,1,7,4
,· на части и вещи от МПС,26,15.14,5,19.23,8,0,1,0,2,4
,"· на оръжие и боеприпаси - (чл.195,ал.1,т.10, чл.195,ал.3 НК)",0,0,0,0,0,0,0,0,0,0
,"· на селскостопанска продукция, домашни животни и птици",71,41.33,57,80.28,57,13,1,0,8,6
2.3.,"Измама (чл.209 - 211, 213 НК)",31,18.05,3,9.68,3,0,0,0,2,3
2.4.,Изнудване (чл.213а-214 а НК),7,4.07,2,28.57,1,0,1,0,1,1
2.5.,Други против собствеността,134,78.01,82,61.19,72,14,18,0,9,9
3,Общоопасни престъпления (чл.330-356 к НК),525,305.62,367,69.9,304,18,15,3,68,65
3.1.,Палеж (чл.330-333 НК),13,7.57,3,23.08,4,0,1,0,1,1
,· повреждане чрез взрив (чл.333 НК),0,0,0,0,0,0,0,0,0,0
3.2.,"Незаконно производство, придобиване, държане и използване на оръжие (чл.337-339б НК)",16,9.31,9,56.25,9,0,0,0,0,0
3.3.,Посегателства спрямо МПС,16,9.31,6,37.5,7,0,1,0,1,1
,"· противозаконно отнемане на МПС (чл.346, ал.1, ал.2, ал.6 НК)",9,5.24,6,66.67,7,0,1,0,1,1
,"· съдействие при връщане на МПС с цел имотна облага (чл.346,ал.3 НК)",0,0,0,0,0,0,0,0,0,0
,"· кражба на МПС (чл.195, ал.1, т.12 НК)",7,4.07,0,0,0,0,0,0,0,0
,"· грабеж на МПС (чл.346, ал.5; чл.199, ал. 2, т. 2 НК)",0,0,0,0,0,0,0,0,0,0
3.4.,Други действия спрямо МПС,69,40.17,57,82.61,43,0,7,0,1,1
,· използване на чужди регистрационни номера на МПС  (чл.345 НК),65,37.84,57,87.69,43,0,7,0,1,1
,· заличаване/подправяне на идентификационни номера на МПС  (чл.345а НК),3,1.75,0,0,0,0,0,0,0,0
,· незаконно проникване в МПС (чл.346б НК),1,0.58,0,0,0,0,0,0,0,0
3.5.,"Престъпления с наркотици (чл.242,ал.2-3; чл.270,ал.2; чл.282,ал.5; чл.253,ал.4, чл.354а-354в НК)",95,55.3,75,78.95,66,7,4,0,17,18
,"· контрабанда (чл.242, ал.2 и ал.3 НК)",0,0,0,0,0,0,0,0,0,0
,"· производство, преработване, придобиване, държане, разпространение, пренасяне (чл.354а НК)",89,51.81,71,79.78,65,7,4,0,17,18
,· склоняване/подпомагане към употреба (чл.354б НК),0,0,0,0,0,0,0,0,0,0
,· засяване/отглеждане на растения (чл.354в),6,3.49,4,66.67,4,0,0,0,0,0
,"· финансови операции и сделки със суми, придобити чрез трафик на наркотици (чл.253, ал.4 НК )",0,0,0,0,0,0,0,0,0,0
,"· възпрепятстване контрол върху трафик на наркотици (чл.270, ал.2 НК)",0,0,0,0,0,0,0,0,0,0
,"· неправомерен контрол върху дейности с наркотици (чл.282, ал.5 НК)",0,0,0,0,0,0,0,0,0,0
3.6.,Престъпления по транспорта (чл.340-344 НК),316,183.96,217,68.67,207,13,4,3,48,46
,"· транспортно причиняване на смърт по непредпазливост (чл.343,ал.1,б.”в”, ал.3, б. ""б”,ал. 4 НК)",11,6.4,2,18.18,2,0,0,0,1,1
,"· транспортни телесни повреди по непредпазливост (чл.343, ал.1, б.”б”, ал.3, б.”а"" НК)",32,18.63,5,15.63,5,2,0,0,7,7
3.7.,Други общоопасни,0,0,0,0,0,0,0,0,0,0
4,Други криминални престъпления,167,97.22,92,55.09,85,8,9,0,29,31
4.1.,"Престъпления против правата на гражданите (чл.162-169 г,170-171,174 а НК)",4,2.33,3,75,4,1,0,0,2,2
4.2.,"Престъпления против брака, семейството и младежта (чл.176-179,181-193 НК)",37,21.54,23,62.16,16,4,0,0,17,16
,· незаконно осиновяване и продажба на дете (чл.182а-182б НК),0,0,0,0,0,0,0,0,0,0
,· неплащане на издръжка (чл.183 НК),30,17.46,17,56.67,10,3,0,0,15,14
4.3.,Престъпления против дейността на държавни органи и обществени организации (чл.269-300 НК),60,34.93,35,58.33,31,1,1,0,6,6
,· използване на полицейски знаци/униформа - (чл.274а НК),0,0,0,0,0,0,0,0,0,0
,· незаконно преминаване през граница  (чл.279 НК),0,0,0,0,0,0,0,0,0,0
,· превеждане през граница (чл.280 -281 НК),0,0,0,0,0,0,0,0,0,0
4.4.,Компютърни престъпления (чл.319а-319в  НК),0,0,0,0,0,0,0,0,0,0
4.5.,Престъпления против реда и общественото спокойствие (чл.320-329 НК),66,38.42,31,46.97,35,2,8,0,3,6
,"· образуване и участие в престъпна група (чл.321, 321а НК)",0,0,0,0,0,0,0,0,0,0
,· хулиганство (чл.325 НК),52,30.27,25,48.08,29,2,7,0,2,3
5,"Престъпления, извършени в условията на домашно насилие",98,57.05,50,51.02,38,1,0,1,8,8
6,Смъртни случаи без следи от насилие,23,13.39,0,0,0,0,0,0,0,0
,,,,,,,,,,"Престъпления,",
,Ямбол,Регистрирани,,Разкрити,,Установени извършители,,,,регистрирани в,
,,престъпления,,престъпления от,,"по разкритите престъпления,",,,,предишни години,
,,през текущата,,регистрираните,,,регистрирани през,,,и разкрити през,
№,Видове престъпления,година,,през текущата,,,текущата година,,,текущата.,
,(вкл. и противообществени прояви),,,година,,,,,,Установени,
,,,,,,,,,,извършители,
,,,Брой на,,% на,,,От тях:,,Разкри-,
,,Общ,"100 хил,",Общ,разкри-,Общ,,Непъл-,Чуж-,ти прес-,Установени
,,брой,души,брой,ваемост,брой,Жени,нолетни,денци,тъпления,извършители
,,,,,,,,(14-17 г.),,,
,Общ брой,996,855.04,557,55.92,477,40,49,27,207,197
1,Престъпления против личността (чл.115 - 159 НК),78,66.96,39,50,33,3,2,0,20,23
1.1.,Убийство (чл.115-127 НК),2,1.72,2,100,2,0,0,0,0,0
,"· Умишлено убийство (чл.115-116,118 НК) - довършено",1,0.86,1,100,1,0,0,0,0,0
,"- по поръчение на ОПГ  (чл.116, ал.1, т.10 НК)",0,0,0,0,0,0,0,0,0,0
,"· Умишлено убийство (чл.115-116,118 НК) - опит",0,0,0,0,0,0,0,0,0,0
,· Убийство от родител на новородено дете (чл.120-121 НК),0,0,0,0,0,0,0,0,0,0
,"· Подпомагане, склоняване към самоубийство (чл.127 НК)",0,0,0,0,0,0,0,0,0,0
1.2.,Разврат (чл.149-159 НК),12,10.3,9,75,7,0,2,0,3,3
,· Блудство (чл.149 - 150 НК),1,0.86,1,100,1,0,0,0,0,0
